Date,Product,Category,Price,Quantity,Customer,City
2025-01-01,Keyboard,Electronics,3500,7,Fatima,Lahore
2025-01-01,Pen,Stationery,100,2,Hassan,Lahore
2025-01-01,Monitor,Electronics,45000,6,Ali,Lahore
2025-01-02,Backpack,Accessories,4000,2,Zain,Islamabad
2025-01-04,Backpack,Accessories,4000,5,Ahmed,Karachi
2025-01-04,Desk,Furniture,25000,2,Ali,Lahore
2025-01-05,Laptop,Electronics,85000,6,Hassan,Lahore
2025-01-06,Mouse,Electronics,2500,4,Ahmed,Karachi
2025-01-07,Desk,Furniture,25000,2,Bilal,Karachi
2025-01-08,Notebook,Stationery,500,9,Sara,Islamabad
2025-01-08,Monitor,Electronics,45000,10,Hassan,Lahore
2025-01-09,Mouse,Electronics,2500,6,Hassan,Lahore
2025-01-09,Headphones,Electronics,5000,9,Bilal,Karachi
2025-01-09,Desk,Furniture,25000,4,Ayesha,Rawalpindi
2025-01-09,Headphones,Electronics,5000,10,Sara,Islamabad
2025-01-10,Laptop,Electronics,85000,9,Usman,Faisalabad
2025-01-10,Pen,Stationery,100,9,Ahmed,Karachi
2025-01-11,Headphones,Electronics,5000,9,Fatima,Lahore
2025-01-11,Laptop,Electronics,85000,7,Maria,Rawalpindi
2025-01-12,Monitor,Electronics,45000,7,Ali,Lahore
2025-01-12,Backpack,Accessories,4000,10,Zain,Islamabad
2025-01-12,Notebook,Stationery,500,1,Bilal,Karachi
2025-01-12,Office Chair,Furniture,18000,7,Ahmed,Karachi
2025-01-13,Desk,Furniture,25000,2,Hassan,Lahore
2025-01-13,Desk Lamp,Furniture,3000,1,Zain,Islamabad
2025-01-15,Keyboard,Electronics,3500,2,Ayesha,Rawalpindi
2025-01-15,Monitor,Electronics,45000,5,Usman,Faisalabad
2025-01-17,Mouse,Electronics,2500,10,Zain,Islamabad
2025-01-18,Mouse,Electronics,2500,2,Hassan,Lahore
2025-01-19,Desk,Furniture,25000,5,Bilal,Karachi
2025-01-20,Notebook,Stationery,500,4,Bilal,Karachi
2025-01-20,Office Chair,Furniture,18000,4,Ayesha,Rawalpindi
2025-01-20,Pen,Stationery,100,6,Hassan,Lahore
2025-01-21,Keyboard,Electronics,3500,8,Ayesha,Rawalpindi
2025-01-21,Monitor,Electronics,45000,7,Ali,Lahore
2025-01-23,Monitor,Electronics,45000,9,Zain,Islamabad
2025-01-25,Mouse,Electronics,2500,9,Hassan,Lahore
2025-01-26,Laptop,Electronics,85000,9,Zain,Islamabad
2025-01-27,Office Chair,Furniture,18000,6,Ayesha,Rawalpindi
2025-01-28,Pen,Stationery,100,8,Usman,Faisalabad
2025-01-28,Pen,Stationery,100,9,Fatima,Lahore
2025-01-29,Backpack,Accessories,4000,6,Zain,Islamabad
2025-01-29,Desk,Furniture,25000,3,Usman,Faisalabad
2025-01-30,Backpack,Accessories,4000,2,Ali,Lahore
2025-01-30,Monitor,Electronics,45000,2,Ahmed,Karachi
2025-02-01,Monitor,Electronics,45000,2,Bilal,Karachi
2025-02-01,Pen,Stationery,100,8,Bilal,Karachi
2025-02-01,Office Chair,Furniture,18000,6,Ahmed,Karachi
2025-02-03,Mouse,Electronics,2500,3,Zain,Islamabad
2025-02-03,Notebook,Stationery,500,9,Sara,Islamabad
2025-02-04,Notebook,Stationery,500,5,Sara,Islamabad
2025-02-06,Monitor,Electronics,45000,7,Bilal,Karachi
2025-02-08,Laptop,Electronics,85000,2,Zain,Islamabad
2025-02-09,Headphones,Electronics,5000,4,Usman,Faisalabad
2025-02-10,Notebook,Stationery,500,1,Ali,Lahore
2025-02-13,Pen,Stationery,100,4,Hassan,Lahore
2025-02-13,Laptop,Electronics,85000,2,Fatima,Lahore
2025-02-14,Headphones,Electronics,5000,10,Usman,Faisalabad
2025-02-15,Keyboard,Electronics,3500,4,Usman,Faisalabad
2025-02-15,Backpack,Accessories,4000,7,Fatima,Lahore
